id,title,lyricsType,lyrics,audioURL,category
103,103 จงหยั่งลึกลึกลงถึงแก่น,png,https://good4.eu/songs/103.png,,เพลงสั้นสรรเสริญ 20-148
104,104 ข้ารับชีวิตพระคริสต์,png,https://good4.eu/songs/104.png,,เพลงสั้นสรรเสริญ 20-148
105,105 ดวงใจข้ารัก,png,https://good4.eu/songs/105.png,,เพลงสั้นสรรเสริญ 20-148
106,106 โอ้ความรักของพระองค์,png,https://good4.eu/songs/106.png,,เพลงสั้นสรรเสริญ 20-148
108,108 ฉันคิดถึงคุณ,png,https://good4.eu/songs/108.png,,เพลงสั้นสรรเสริญ 20-148
109,109 เราเป็นหนึ่งในความรักพระคริสต์,png,https://good4.eu/songs/109.png,,เพลงสั้นสรรเสริญ 20-148
110,110 พระองค์จะอยู่เคียง,png,https://good4.eu/songs/110.png,,เพลงสั้นสรรเสริญ 20-148
111,111 ฮาเลลูยา พระเยซูทรงพระชนม์,png,https://good4.eu/songs/111.png,,เพลงสั้นสรรเสริญ 20-148
112,112 ขอให้พระเกียรติ,png,https://good4.eu/songs/112.png,,เพลงสั้นสรรเสริญ 20-148
113,113 ด้วยสุดใจ,png,https://good4.eu/songs/113.png,,เพลงสั้นสรรเสริญ 20-148
114,114 ใครลำบากเหน็ดเหนื่อย,png,https://good4.eu/songs/114.png,,เพลงสั้นสรรเสริญ 20-148
115,115 เราจะร้องสรรเสริญพระนาม,png,https://good4.eu/songs/115.png,,เพลงสั้นสรรเสริญ 20-148
116,116 พื้นฟ้าสวรรค์ประกาศพระบารมี,png,https://good4.eu/songs/116.png,,เพลงสั้นสรรเสริญ 20-148
117,117 แต่ละวัน,png,https://good4.eu/songs/117.png,,เพลงสั้นสรรเสริญ 20-148
118,118 จงมีพลังสู้ทนอย่าหวั่น,png,https://good4.eu/songs/118.png,,เพลงสั้นสรรเสริญ 20-148
119,119 พระเจ้าของเราอยู่ท่ามกลาง,png,https://good4.eu/songs/119.png,,เพลงสั้นสรรเสริญ 20-148
120,120 ความสุขภายในใจ,png,https://good4.eu/songs/120.png,,เพลงสั้นสรรเสริญ 20-148
121,121 ลำธาร,png,https://good4.eu/songs/121.png,,เพลงสั้นสรรเสริญ 20-148
